행정구역,순위,2023년 수(명),비율(%)
충청북도 청주시 청원구 율량·사천동,75,"48,080",0.09
서울특별시 금천구 독산1동,76,"48,069",0.09
경기도 오산시 대원1동,77,"47,912",0.09
경기도 김포시 운양동,78,"47,867",0.09
울산광역시 남구 삼산동,79,"47,809",0.09
경상북도 구미시 양포동,80,"47,654",0.09
경상북도 구미시 인동동,81,"47,586",0.09
충청북도 청주시 서원구 성화·개신·죽림동,82,"47,463",0.09
충청남도 아산시 탕정면,83,"47,364",0.09
경기도 김포시 고촌읍,84,"46,560",0.09
전라남도 광양시 광양읍,85,"46,552",0.09
인천광역시 서구 청라2동,86,"46,324",0.09
대구광역시 달성군 화원읍,87,"46,320",0.09
서울특별시 동작구 상도1동,88,"46,296",0.09
강원특별자치도 춘천시 퇴계동,89,"46,293",0.09
경기도 수원시 팔달구 인계동,90,"46,269",0.09
경기도 파주시 운정1동,91,"46,133",0.09
경기도 파주시 문산읍,92,"46,040",0.09
인천광역시 연수구 송도5동,93,"45,981",0.09
강원특별자치도 원주시 반곡관설동,94,"45,914",0.09
인천광역시 미추홀구 용현5동,95,"45,884",0.09
서울특별시 노원구 공릉2동,96,"45,809",0.09
경기도 수원시 권선구 권선2동,97,"45,710",0.09
경기도 화성시 동탄5동,98,"45,474",0.09
경상남도 창원시 진해구 웅동2동,99,"45,382",0.09
경기도 하남시 미사2동,100,"45,274",0.09
경기도 평택시 안중읍,101,"45,223",0.09
경기도 성남시 수정구 위례동,102,"45,106",0.09
경기도 포천시 소흘읍,103,"44,996",0.09
경기도 의정부시 송산3동,104,"44,840",0.09
경기도 안산시 상록구 해양동,105,"44,770",0.09
경기도 수원시 장안구 율천동,106,"44,723",0.09
경상남도 창원시 성산구 사파동,107,"44,710",0.09
경기도 김포시 구래동,108,"44,702",0.09
경기도 의정부시 신곡2동,109,"44,588",0.09
경상남도 양산시 동면,110,"44,260",0.09
경기도 하남시 신장2동,111,"44,239",0.09
인천광역시 남동구 논현고잔동,112,"44,096",0.09
경기도 수원시 권선구 호매실동,113,"44,075",0.09
경상북도 경산시 진량읍,114,"44,028",0.09
서울특별시 강남구 세곡동,115,"44,025",0.09
제주특별자치도 제주시 연동,116,"43,976",0.08
광주광역시 광산구 첨단2동,117,"43,941",0.08
충청남도 천안시 동남구 신방동,118,"43,783",0.08
충청북도 청주시 상당구 용암2동,119,"43,615",0.08
서울특별시 송파구 위례동,120,"43,569",0.08
광주광역시 북구 용봉동,121,"43,567",0.08
경기도 수원시 권선구 금곡동,122,"43,479",0.08
경상남도 창원시 마산합포구 월영동,123,"43,387",0.08
서울특별시 강동구 길동,124,"43,317",0.08
전북특별자치도 전주시 완산구 평화2동,125,"43,311",0.08
경상북도 경산시 동부동,126,"43,260",0.08
경기도 평택시 중앙동,127,"43,076",0.08
경상북도 포항시 북구 흥해읍,128,"43,013",0.08
경기도 시흥시 장곡동,129,"42,923",0.08
전북특별자치도 전주시 완산구 효자4동,130,"42,864",0.08
경기도 시흥시 정왕1동,131,"42,861",0.08
경기도 안산시 단원구 호수동,132,"42,747",0.08
제주특별자치도 제주시 아라동,133,"42,535",0.08
서울특별시 은평구 역촌동,134,"42,490",0.08
경상남도 창원시 의창구 북면,135,"42,454",0.08
경기도 화성시 동탄6동,136,"42,448",0.08
울산광역시 북구 농소2동,137,"42,437",0.08
강원특별자치도 원주시 단구동,138,"42,402",0.08
경기도 시흥시 대야동,139,"42,331",0.08
서울특별시 강서구 우장산동,140,"42,291",0.08
경기도 군포시 군포2동,141,"42,047",0.08
경기도 파주시 운정5동,142,"41,674",0.08
부산광역시 남구 용호1동,143,"41,664",0.08
경기도 용인시 기흥구 구갈동,144,"41,642",0.08
울산광역시 동구 방어동,145,"41,433",0.08
전라남도 여수시 시전동,146,"41,433",0.08
경기도 수원시 권선구 평동,147,"41,423",0.08
경기도 시흥시 정왕본동,148,"41,210",0.08
서울특별시 강서구 방화1동,149,"41,019",0.08
경기도 시흥시 목감동,150,"40,831",0.08
경기도 평택시 동삭동,151,"40,772",0.08
경상남도 김해시 활천동,152,"40,591",0.08
서울특별시 서초구 양재1동,153,"40,223",0.08
경기도 화성시 동탄3동,154,"40,221",0.08
경기도 광주시 탄벌동,155,"40,204",0.08
경기도 부천시 원미구 중1동,156,"40,175",0.08
대구광역시 달서구 신당동,157,"40,157",0.08
경기도 용인시 수지구 풍덕천2동,158,"40,115",0.08
인천광역시 서구 가정1동,159,"40,079",0.08
서울특별시 강서구 염창동,160,"40,045",0.08
경기도 고양시 일산동구 식사동,161,"39,963",0.08
전라남도 순천시 덕연동,162,"39,932",0.08
경기도 김포시 장기동,163,"39,915",0.08
대구광역시 달서구 월성1동,164,"39,847",0.08
경기도 평택시 고덕동,165,"39,837",0.08
부산광역시 강서구 녹산동,166,"39,671",0.08
서울특별시 성북구 종암동,167,"39,560",0.08
경상남도 창원시 의창구 명곡동,168,"39,504",0.08
경상남도 거창군 거창읍,169,"39,265",0.08
경기도 안산시 단원구 와동,170,"39,238",0.08
서울특별시 강남구 개포2동,171,"39,231",0.08
경기도 수원시 장안구 정자3동,172,"39,224",0.08
경상남도 창원시 성산구 반송동,173,"39,207",0.08
충청남도 아산시 온양3동,174,"39,174",0.08
경기도 김포시 통진읍,175,"39,166",0.08
부산광역시 북구 화명1동,176,"39,161",0.08
전북특별자치도 전주시 완산구 서신동,177,"39,132",0.08
서울특별시 동대문구 용신동,178,"39,131",0.08
경상북도 구미시 선주원남동,179,"39,118",0.08
경기도 용인시 수지구 신봉동,180,"39,020",0.08
경기도 의정부시 의정부1동,181,"38,968",0.08
충청남도 천안시 서북구 백석동,182,"38,968",0.08
부산광역시 남구 대연3동,183,"38,962",0.08
전라남도 무안군 삼향읍,184,"38,936",0.08
대구광역시 동구 안심1동,185,"38,931",0.08
경기도 의정부시 신곡1동,186,"38,662",0.07
경기도 화성시 동탄9동,187,"38,437",0.07
인천광역시 연수구 송도1동,188,"38,403",0.07
전라남도 화순군 화순읍,189,"38,380",0.07
서울특별시 양천구 목5동,190,"38,370",0.07
전라남도 나주시 빛가람동,191,"38,238",0.07
경기도 부천시 오정구 성곡동,192,"38,220",0.07
인천광역시 부평구 부평4동,193,"38,156",0.07
경기도 수원시 권선구 서둔동,194,"38,146",0.07
경기도 하남시 감일동,195,"38,136",0.07
경기도 김포시 장기본동,196,"37,968",0.07
경기도 용인시 기흥구 구성동,197,"37,947",0.07
서울특별시 강동구 상일1동,198,"37,935",0.07
인천광역시 서구 연희동,199,"37,926",0.07
경상북도 경산시 하양읍,200,"37,880",0.07
인천광역시 남동구 서창2동,201,"37,717",0.07
전라남도 순천시 왕조1동,202,"37,680",0.07
충청남도 홍성군 홍성읍,203,"37,640",0.07
서울특별시 마포구 성산2동,204,"37,637",0.07
대전광역시 서구 도안동,205,"37,587",0.07
경상남도 창원시 성산구 가음정동,206,"37,578",0.07
경기도 평택시 세교동,207,"37,556",0.07
경기도 안산시 상록구 본오1동,208,"37,461",0.07
경상북도 구미시 고아읍,209,"37,332",0.07
경기도 용인시 처인구 유림동,210,"37,279",0.07
경기도 용인시 기흥구 신갈동,211,"37,250",0.07
제주특별자치도 제주시 애월읍,212,"37,245",0.07
경기도 남양주시 평내동,213,"37,209",0.07
인천광역시 부평구 부평5동,214,"37,201",0.07
전북특별자치도 익산시 모현동,215,"37,087",0.07
경기도 의왕시 오전동,216,"37,041",0.07
서울특별시 중랑구 신내1동,217,"37,020",0.07
서울특별시 구로구 오류2동,218,"37,004",0.07
경상남도 김해시 장유2동,219,"36,952",0.07
경기도 오산시 중앙동,220,"36,923",0.07
서울특별시 동대문구 장안1동,221,"36,833",0.07
경기도 오산시 신장1동,222,"36,826",0.07
부산광역시 사하구 다대1동,223,"36,823",0.07
충청남도 천안시 서북구 쌍용2동,224,"36,755",0.07
경기도 안산시 상록구 월피동,225,"36,737",0.07
경기도 수원시 장안구 정자2동,226,"36,649",0.07
서울특별시 관악구 청룡동,227,"36,618",0.07
경기도 화성시 반월동,228,"36,612",0.07
인천광역시 부평구 부평1동,229,"36,420",0.07
경기도 화성시 병점1동,230,"36,391",0.07
전북특별자치도 전주시 완산구 효자5동,231,"36,380",0.07
인천광역시 중구 운서동,232,"36,359",0.07
광주광역시 북구 양산동,233,"36,333",0.07
서울특별시 서대문구 연희동,234,"36,299",0.07
충청북도 증평군 증평읍,235,"36,290",0.07
전북특별자치도 전주시 덕진구 혁신동,236,"36,280",0.07
경기도 이천시 부발읍,237,"36,162",0.07
경기도 안산시 상록구 사동,238,"36,141",0.07
울산광역시 북구 농소3동,239,"36,140",0.07
경상남도 진주시 가호동,240,"36,140",0.07
충청남도 천안시 서북구 불당2동,241,"36,091",0.07
경기도 시흥시 배곧2동,242,"36,082",0.07
경기도 고양시 일산동구 풍산동,243,"36,070",0.07
서울특별시 노원구 공릉1동,244,"36,059",0.07
부산광역시 동래구 온천3동,245,"36,058",0.07
경상남도 창원시 성산구 중앙동,246,"36,021",0.07
서울특별시 은평구 불광1동,247,"35,991",0.07
서울특별시 노원구 상계1동,248,"35,948",0.07
경기도 의왕시 청계동,249,"35,909",0.07
서울특별시 송파구 오금동,250,"35,838",0.07
인천광역시 연수구 송도2동,251,"35,784",0.07
울산광역시 북구 송정동,252,"35,784",0.07
대전광역시 유성구 노은3동,253,"35,760",0.07
울산광역시 북구 농소1동,254,"35,741",0.07
부산광역시 해운대구 재송1동,255,"35,710",0.07
서울특별시 영등포구 당산2동,256,"35,691",0.07
서울특별시 강남구 대치2동,257,"35,686",0.07
광주광역시 광산구 어룡동,258,"35,670",0.07
충청북도 충주시 연수동,259,"35,648",0.07
경기도 광명시 철산3동,260,"35,640",0.07
경기도 용인시 처인구 역북동,261,"35,586",0.07
충청남도 논산시 취암동,262,"35,514",0.07
경기도 시흥시 배곧1동,263,"35,428",0.07
경기도 광주시 신현동,264,"35,387",0.07
경기도 수원시 권선구 곡선동,265,"35,371",0.07
서울특별시 마포구 공덕동,266,"35,343",0.07
경기도 안산시 단원구 선부3동,267,"35,277",0.07
부산광역시 북구 금곡동,268,"35,222",0.07
서울특별시 은평구 녹번동,269,"35,179",0.07
경기도 고양시 덕양구 관산동,270,"35,104",0.07
경기도 김포시 마산동,271,"35,071",0.07
인천광역시 부평구 청천2동,272,"34,964",0.07
경기도 구리시 동구동,273,"34,942",0.07
경기도 김포시 양촌읍,274,"34,853",0.07
서울특별시 중랑구 망우본동,275,"34,833",0.07
서울특별시 구로구 신도림동,276,"34,832",0.07
서울특별시 강서구 발산1동,277,"34,799",0.07
울산광역시 남구 무거동,278,"34,796",0.07
경기도 남양주시 다산2동,279,"34,776",0.07
경기도 수원시 영통구 매탄3동,280,"34,738",0.07
인천광역시 서구 청라3동,281,"34,729",0.07
광주광역시 서구 풍암동,282,"34,720",0.07
충청남도 서산시 석남동,283,"34,694",0.07
서울특별시 강남구 역삼2동,284,"34,689",0.07
경기도 군포시 군포1동,285,"34,638",0.07
경기도 고양시 덕양구 화정1동,286,"34,633",0.07
서울특별시 동작구 대방동,287,"34,569",0.07
경기도 용인시 수지구 풍덕천1동,288,"34,556",0.07
세종특별자치시 세종시 고운동,289,"34,551",0.07
광주광역시 광산구 신창동,290,"34,526",0.07
경상북도 경산시 서부2동,291,"34,518",0.07
서울특별시 동작구 흑석동,292,"34,500",0.07
강원특별자치도 원주시 무실동,293,"34,464",0.07
경상남도 거제시 고현동,294,"34,446",0.07
서울특별시 금천구 시흥1동,295,"34,370",0.07
경상남도 김해시 삼안동,296,"34,297",0.07
경기도 의정부시 호원1동,297,"34,272",0.07
서울특별시 구로구 구로2동,298,"34,270",0.07
대구광역시 북구 무태조야동,299,"34,228",0.07
경기도 양주시 회천2동,300,"34,223",0.07
대구광역시 북구 관문동,301,"34,044",0.07
서울특별시 성북구 석관동,302,"34,039",0.07
인천광역시 남동구 구월2동,303,"34,028",0.07
경기도 시흥시 신천동,304,"34,020",0.07
대전광역시 서구 둔산2동,305,"33,962",0.07
경기도 고양시 일산서구 대화동,306,"33,897",0.07
대구광역시 달서구 상인1동,307,"33,894",0.07
강원특별자치도 춘천시 석사동,308,"33,870",0.07
서울특별시 구로구 개봉1동,309,"33,762",0.07
인천광역시 서구 검단동,310,"33,708",0.07
전북특별자치도 군산시 나운3동,311,"33,686",0.07
서울특별시 서대문구 신촌동,312,"33,661",0.07
대전광역시 유성구 관평동,313,"33,635",0.06
서울특별시 강남구 역삼1동,314,"33,619",0.06
경기도 화성시 동탄2동,315,"33,608",0.06
인천광역시 남동구 논현2동,316,"33,593",0.06
서울특별시 성북구 길음1동,317,"33,592",0.06
경기도 광주시 오포2동,318,"33,578",0.06
부산광역시 해운대구 반여1동,319,"33,544",0.06
경기도 하남시 위례동,320,"33,536",0.06
경기도 용인시 기흥구 보정동,321,"33,487",0.06
경상북도 경산시 서부1동,322,"33,419",0.06
대구광역시 달서구 유천동,323,"33,397",0.06
인천광역시 계양구 작전서운동,324,"33,322",0.06
서울특별시 강동구 천호2동,325,"33,311",0.06
경기도 양평군 양평읍,326,"33,233",0.06
대전광역시 유성구 구즉동,327,"33,217",0.06
서울특별시 광진구 광장동,328,"33,044",0.06
서울특별시 송파구 잠실2동,329,"32,990",0.06
경상남도 진주시 충무공동,330,"32,946",0.06
서울특별시 중랑구 면목본동,331,"32,935",0.06
서울특별시 구로구 구로5동,332,"32,890",0.06
서울특별시 강동구 암사1동,333,"32,884",0.06
경기도 안양시 동안구 관양동,334,"32,881",0.06
경기도 화성시 동탄8동,335,"32,862",0.06
서울특별시 강서구 가양1동,336,"32,860",0.06
경기도 광주시 광남1동,337,"32,857",0.06
경기도 성남시 분당구 운중동,338,"32,833",0.06
대구광역시 달서구 도원동,339,"32,831",0.06
경기도 성남시 중원구 성남동,340,"32,790",0.06
충청남도 당진시 당진1동,341,"32,759",0.06
경기도 용인시 처인구 포곡읍,342,"32,744",0.06
서울특별시 중랑구 묵1동,343,"32,737",0.06
경기도 광주시 광남2동,344,"32,713",0.06
경기도 수원시 영통구 망포2동,345,"32,639",0.06
경기도 수원시 영통구 영통1동,346,"32,637",0.06
경상북도 칠곡군 왜관읍,347,"32,613",0.06
강원특별자치도 홍천군 홍천읍,348,"32,605",0.06
부산광역시 연제구 연산9동,349,"32,601",0.06
대구광역시 북구 구암동,350,"32,553",0.06
충청북도 진천군 진천읍,351,"32,486",0.06
서울특별시 강서구 화곡본동,352,"32,418",0.06
인천광역시 부평구 삼산1동,353,"32,345",0.06
경기도 의정부시 호원2동,354,"32,344",0.06
충청북도 진천군 덕산읍,355,"32,332",0.06
경기도 수원시 영통구 영통3동,356,"32,317",0.06
경기도 오산시 세마동,357,"32,313",0.06
경상남도 창원시 의창구 봉림동,358,"32,310",0.06
울산광역시 남구 대현동,359,"32,296",0.06
서울특별시 서초구 반포1동,360,"32,279",0.06
경상북도 포항시 북구 우창동,361,"32,259",0.06
서울특별시 동대문구 전농1동,362,"32,225",0.06
서울특별시 동대문구 장안2동,363,"32,214",0.06
충청남도 아산시 신창면,364,"32,158",0.06
경기도 고양시 일산서구 일산3동,365,"32,116",0.06
경상남도 거제시 상문동,366,"32,058",0.06
서울특별시 관악구 은천동,367,"31,985",0.06
서울특별시 강동구 강일동,368,"31,908",0.06
인천광역시 미추홀구 도화2·3동,369,"31,905",0.06
인천광역시 계양구 계양2동,370,"31,863",0.06
서울특별시 은평구 응암1동,371,"31,848",0.06
서울특별시 송파구 잠실3동,372,"31,835",0.06
서울특별시 양천구 신정4동,373,"31,831",0.06
경기도 용인시 기흥구 보라동,374,"31,754",0.06
충청남도 예산군 예산읍,375,"31,738",0.06
서울특별시 동작구 노량진1동,376,"31,688",0.06
서울특별시 노원구 중계2·3동,377,"31,681",0.06
경상북도 포항시 남구 효곡동,378,"31,571",0.06
충청남도 천안시 서북구 불당1동,379,"31,567",0.06
제주특별자치도 제주시 일도2동,380,"31,540",0.06
충청남도 당진시 송악읍,381,"31,514",0.06
서울특별시 영등포구 문래동,382,"31,446",0.06
경기도 용인시 수지구 상현2동,383,"31,378",0.06
울산광역시 울주군 언양읍,384,"31,333",0.06
인천광역시 남동구 구월1동,385,"31,328",0.06
경상북도 칠곡군 석적읍,386,"31,324",0.06
경기도 안산시 상록구 사이동,387,"31,312",0.06
경기도 안산시 단원구 원곡동,388,"31,309",0.06
경기도 의정부시 송산2동,389,"31,255",0.06
전라남도 여수시 쌍봉동,390,"31,195",0.06
경기도 수원시 영통구 망포1동,391,"31,158",0.06
경기도 파주시 금촌2동,392,"31,141",0.06
충청북도 청주시 흥덕구 오송읍,393,"31,129",0.06
서울특별시 광진구 화양동,394,"31,070",0.06
인천광역시 미추홀구 학익1동,395,"31,035",0.06
경기도 용인시 기흥구 동백1동,396,"31,035",0.06
울산광역시 중구 태화동,397,"31,022",0.06
인천광역시 중구 영종1동,398,"31,004",0.06
전북특별자치도 익산시 삼성동,399,"30,995",0.06
인천광역시 남동구 논현1동,400,"30,992",0.06
경기도 부천시 소사구 옥길동,401,"30,969",0.06
전라남도 영암군 삼호읍,402,"30,828",0.06
대구광역시 북구 국우동,403,"30,814",0.06
서울특별시 서대문구 남가좌2동,404,"30,766",0.06
경기도 오산시 남촌동,405,"30,720",0.06
부산광역시 금정구 구서2동,406,"30,692",0.06
충청북도 청주시 흥덕구 강서1동,407,"30,676",0.06
서울특별시 은평구 구산동,408,"30,670",0.06
광주광역시 광산구 우산동,409,"30,668",0.06
대구광역시 수성구 고산3동,410,"30,658",0.06
서울특별시 영등포구 여의동,411,"30,638",0.06
경기도 고양시 덕양구 화정2동,412,"30,620",0.06
대구광역시 수성구 고산1동,413,"30,589",0.06
경상북도 구미시 상모사곡동,414,"30,559",0.06
서울특별시 노원구 상계6·7동,415,"30,513",0.06
경상남도 통영시 광도면,416,"30,510",0.06
경기도 시흥시 정왕2동,417,"30,461",0.06
경상남도 양산시 양주동,418,"30,389",0.06
전북특별자치도 전주시 덕진구 인후3동,419,"30,380",0.06
부산광역시 동래구 수민동,420,"30,344",0.06
서울특별시 송파구 석촌동,421,"30,327",0.06
충청남도 아산시 둔포면,422,"30,326",0.06
충청남도 홍성군 홍북읍,423,"30,325",0.06
대구광역시 북구 복현2동,424,"30,243",0.06
서울특별시 서대문구 북가좌2동,425,"30,221",0.06
서울특별시 영등포구 영등포동,426,"30,206",0.06
경기도 안산시 단원구 백운동,427,"30,190",0.06
경기도 광주시 경안동,428,"30,179",0.06
경기도 용인시 기흥구 마북동,429,"30,143",0.06
서울특별시 서초구 서초3동,430,"30,140",0.06
광주광역시 광산구 운남동,431,"30,070",0.06
인천광역시 남동구 구월3동,432,"29,993",0.06
인천광역시 서구 신현원창동,433,"29,945",0.06
광주광역시 광산구 하남동,434,"29,835",0.06
서울특별시 송파구 가락2동,435,"29,827",0.06
서울특별시 강남구 도곡2동,436,"29,819",0.06
경기도 안양시 만안구 석수2동,437,"29,789",0.06
부산광역시 해운대구 좌2동,438,"29,786",0.06
경기도 광명시 소하1동,439,"29,759",0.06
경기도 구리시 갈매동,440,"29,717",0.06
인천광역시 서구 청라1동,441,"29,713",0.06
경상남도 창원시 마산회원구 양덕2동,442,"29,671",0.06
경기도 부천시 소사구 소사본동,443,"29,659",0.06
경기도 고양시 일산서구 덕이동,444,"29,655",0.06
경기도 용인시 처인구 모현읍,445,"29,655",0.06
경기도 의정부시 의정부2동,446,"29,606",0.06
서울특별시 강북구 삼각산동,447,"29,592",0.06
경기도 부천시 원미구 상3동,448,"29,531",0.06
강원특별자치도 동해시 천곡동,449,"29,530",0.06
경기도 부천시 소사구 소사본1동,450,"29,481",0.06
광주광역시 서구 치평동,451,"29,447",0.06
인천광역시 연수구 송도4동,452,"29,428",0.06
서울특별시 강서구 공항동,453,"29,427",0.06
경기도 하남시 미사3동,454,"29,409",0.06
서울특별시 구로구 개봉2동,455,"29,386",0.06
서울특별시 관악구 미성동,456,"29,384",0.06
경기도 고양시 덕양구 행신2동,457,"29,378",0.06
경기도 평택시 포승읍,458,"29,369",0.06
부산광역시 금정구 남산동,459,"29,364",0.06
인천광역시 남동구 간석4동,460,"29,333",0.06
충청북도 청주시 상당구 금천동,461,"29,313",0.06
강원특별자치도 원주시 지정면,462,"29,281",0.06
경기도 성남시 분당구 서현1동,463,"29,265",0.06
경기도 용인시 기흥구 영덕1동,464,"29,243",0.06
인천광역시 연수구 연수1동,465,"29,238",0.06
울산광역시 북구 효문동,466,"29,237",0.06
경기도 고양시 일산서구 탄현1동,467,"29,234",0.06
서울특별시 금천구 독산3동,468,"29,222",0.06
서울특별시 마포구 상암동,469,"29,147",0.06
경기도 부천시 원미구 중2동,470,"29,135",0.06
부산광역시 강서구 명지2동,471,"29,125",0.06
인천광역시 부평구 산곡2동,472,"29,112",0.06
부산광역시 해운대구 우2동,473,"29,092",0.06
경상남도 양산시 서창동,474,"29,045",0.06
서울특별시 관악구 행운동,475,"29,003",0.06
대구광역시 달서구 용산1동,476,"28,936",0.06
경상남도 진주시 천전동,477,"28,921",0.06
강원특별자치도 속초시 조양동,478,"28,916",0.06
경상남도 양산시 평산동,479,"28,907",0.06
부산광역시 금정구 장전2동,480,"28,879",0.06
대구광역시 달서구 감삼동,481,"28,856",0.06
서울특별시 양천구 목1동,482,"28,848",0.06
대구광역시 달성군 유가읍,483,"28,833",0.06
충청북도 청주시 서원구 분평동,484,"28,816",0.06
경기도 용인시 수지구 죽전3동,485,"28,768",0.06
서울특별시 강남구 삼성2동,486,"28,760",0.06
경기도 파주시 조리읍,487,"28,741",0.06
경상북도 포항시 남구 연일읍,488,"28,659",0.06
경기도 평택시 팽성읍,489,"28,649",0.06
경기도 성남시 분당구 정자1동,490,"28,602",0.06
경기도 용인시 처인구 중앙동,491,"28,600",0.06
광주광역시 남구 진월동,492,"28,596",0.06
광주광역시 북구 신용동,493,"28,591",0.06
경기도 고양시 덕양구 흥도동,494,"28,571",0.06
서울특별시 서대문구 홍은2동,495,"28,549",0.06
서울특별시 강서구 등촌3동,496,"28,520",0.06
충청남도 태안군 태안읍,497,"28,512",0.06
전라남도 순천시 삼산동,498,"28,506",0.06
경기도 안성시 안성2동,499,"28,500",0.06
서울특별시 강북구 송중동,500,"28,489",0.06
부산광역시 기장군 일광읍,501,"28,475",0.05
경기도 양주시 옥정1동,502,"28,396",0.05
경기도 평택시 청북읍,503,"28,391",0.05
서울특별시 강북구 인수동,504,"28,367",0.05
경기도 용인시 기흥구 서농동,505,"28,347",0.05
서울특별시 송파구 삼전동,506,"28,335",0.05
서울특별시 서초구 서초4동,507,"28,327",0.05
서울특별시 금천구 가산동,508,"28,267",0.05
경기도 수원시 장안구 조원1동,509,"28,216",0.05
인천광역시 부평구 부개3동,510,"28,209",0.05
부산광역시 영도구 동삼1동,511,"28,158",0.05
경상남도 거제시 아주동,512,"28,158",0.05
광주광역시 북구 일곡동,513,"28,045",0.05
경기도 고양시 덕양구 고양동,514,"28,004",0.05
충청북도 옥천군 옥천읍,515,"27,972",0.05
경기도 고양시 일산동구 백석1동,516,"27,963",0.05
부산광역시 북구 화명3동,517,"27,942",0.05
서울특별시 노원구 월계3동,518,"27,931",0.05
서울특별시 양천구 목2동,519,"27,911",0.05
충청남도 천안시 서북구 성환읍,520,"27,903",0.05
경기도 안양시 동안구 비산1동,521,"27,850",0.05
인천광역시 서구 당하동,522,"27,835",0.05
강원특별자치도 원주시 단계동,523,"27,802",0.05
경기도 수원시 영통구 광교2동,524,"27,795",0.05
울산광역시 울주군 온양읍,525,"27,784",0.05
경상북도 영천시 동부동,526,"27,772",0.05
경기도 안산시 상록구 이동,527,"27,743",0.05
대전광역시 유성구 원신흥동,528,"27,735",0.05
경기도 부천시 원미구 상2동,529,"27,693",0.05
부산광역시 연제구 거제1동,530,"27,662",0.05
경기도 고양시 덕양구 삼송2동,531,"27,647",0.05
서울특별시 송파구 장지동,532,"27,617",0.05
